"name","lat","lng","pl","en","oua","ppo","spo","road","parking","hotel","wc","restaurant","gas","cafe"
"OUA Kotowo","52.351388889","16.843888889","160 km na wschód od Świecka","160 km east of Świecko","1","","","","","","","","",""
"OUA Sługocin ","52.206666667","18.019444444","243 km na wschód od Świecka","243 km east of Świecko","1","","","","","","","","",""
"OUA Bolewice","52.360555556","16.098055556","108 km na wschód od Świecka","108 km east of Świecko","1","","","","","","","","",""
"OUA Biały Mur","52.298777031","15.652181206","76 km na wschód od Świecka","76 km east of Świecko","1","","","","","","","","",""
"OUA Ilanka","52.323438711","15.084758664","35 km na wschód od Świecka","35 km east of Świecko","1","","","","","","","","",""
"PPO Tarnawa","52.335181733938","14.901022911072","23 km na wschód od Świecka","23 km east of Świecko","","1","","","","","","","",""
"PPO Gołuski","52.35048023016","16.731812953949","152 km na wschód od Świecka","152 km east of Świecko","","1","","","","","","","",""
"PPO Nagradowice","52.310761346359","17.151407003403","181 km na wschód od Świecka","181 km east of Świecko","","1","","","","","","","",""
"PPO Lądek","52.221851663394","17.950791120529","238 km na wschód od Świecka","238 km east of Świecko","","1","","","","","","","",""
"SPO Buk","52.376388889","16.566388889","140 km na wschód od Świecka","140 km east of Świecko","","","1","","","","","","",""
"SPO Nowy Tomyśl","52.358592708321","16.098232269287","108 km na wschód od Świecka","108 km east of Świecko","","","1","","","","","","",""
"SPO Trzciel","52.32894501868","15.871896743774","91 km na wschód od Świecka","91 km east of Świecko","","","1","","","","","","",""
"SPO Jordanowo","52.324009308693","15.535354614258","69 km na wschód od Świecka","69 km east of Świecko","","","1","","","","","","",""
"SPO Torzym","52.325242085647","15.085923671722","26 km na wschód od Świecka","26 km east of Świecko","","","1","","","","","","",""
"SPO Słupca","52.253139","17.824673","229 km na wschód od Świecka","229 km east of Świecko","","","1","","","","","","",""
"Słupca","52.253139","17.824673","229 km na wschód od Świecka<br>Skrzyżowanie z drogą wojewódzką nr 466","229 km east of Świecko","","","","1","","","","","",""
"Poznań Wschód","52.320533741937","17.119488716125","180 km na wschód od Świecka<br>Skrzyżowanie z drogą ekspresową nr S-5<br>oddanie do użytku - 06.2012","180 km east of Świecko","","","","1","","","","","",""
"Poznań Zachód","52.350506444119","16.767861843109","154 km na wschód od Świecka<br>Skrzyżowanie z drogą ekspresową nr S-11<br>oddanie do użytku - 05.2012","154 km east of Świecko","","","","1","","","","","",""
"Modła","52.162939","18.206812","257 km na wschód od Świecka<br>Skrzyżowanie z drogą krajową nr 25","257 km east of Świecko","","","","1","","","","","",""
"Nowy Tomyśl","52.358592708321","16.098232269287","108 km na wschód od Świecka<br>Skrzyżowanie z drogą wojewódzką nr 305","108 km east of Świecko","","","","1","","","","","",""
"Buk","52.376388889","16.566388889","140 km na wschód od Świecka<br>Skrzyżowanie z drogą wojewódzką nr 307","140 km east of Świecko","","","","1","","","","","",""
"Komorniki","52.350277778","16.836944444","159 km na wschód od Świecka<br>Skrzyżowanie z drogą krajową nr 5","159 km east of Świecko","","","","1","","","","","",""
"Dębina","52.353888889","16.901944444","164 km&nbspna&nbspwschód&nbspod&nbspŚwiecka<br>Skrzyżowanie z drogą wojewódzką nr 430","164 km east of Świecko","","","","1","","","","","",""
"Krzesiny","52.345833333","16.999166667","170 km na wschód od Świecka<br>Skrzyżowanie z drogą krajową nr 11","170 km east of Świecko","","","","1","","","","","",""
"Września","52.315277778","17.533333333","208 km na wschód od Świecka<br>Skrzyżowanie z drogą krajową nr 92","208 km east of Świecko","","","","1","","","","","",""
"Sługocin","52.205","18.021388889","243 km na wschód od Świecka<br>Skrzyżowanie z drogą wojewódzką nr 467","243 km east of Świecko","","","","1","","","","","",""
"Trzciel","52.32894501868","15.871896743774","91 km na wschód od Świecka<br>Skrzyżowanie z drogą powiatową F1339","91 km east of Świecko","","","","1","","","","","",""
"Jordanowo","52.324009308693","15.535354614258","69 km na wschód od Świecka<br>skrzyżowanie z drogą ekspresową S3","69 km east of Świecko","","","","1","","","","","",""
"Torzym","52.325242085647","15.085923671722","35 km na wschód od Świecka<br>Skrzyżowanie z drogą wojewódzką nr 138","35 km east of Świecko","","","","1","","","","","",""
"Rzepin","52.333398531374","14.880723953247","21 km na wschód od Świecka<br>skrzyżowanie z DK Nr 2<br>oraz drogą powiatową F1254","21 km east of Świecko","","","","1","","","","","",""
"Świecko","52.323484712336","14.616494178772","3 km na wschód od Świecka<br>Skrzyżowanie z drogą krajową nr 29","3 km east of Świecko","","","","1","","","","","",""
"Gnilec","52.325301","14.651295","5 km <br>od Świecka","5 km east<br>of Świecko","","","","","1","","1","1","1","1"
